function,F,CR,run,best_fitness
Sphere,1,0.1,9,0.0380216
Sphere,1,0.1,10,0.0358344
Sphere,1,0.3,1,229.988
Sphere,1,0.3,2,180.895
Sphere,1,0.3,3,182.789
Sphere,1,0.3,4,183.313
Sphere,1,0.3,5,226.887
Sphere,1,0.3,6,178.404
Sphere,1,0.3,7,223.915
Sphere,1,0.3,8,171.998
Sphere,1,0.3,9,204.825
Sphere,1,0.3,10,164.527
Sphere,1,0.5,1,8350.65
Sphere,1,0.5,2,8495.07
Sphere,1,0.5,3,6565.42
Sphere,1,0.5,4,8268.97
Sphere,1,0.5,5,9423.16
Sphere,1,0.5,6,8021.36
Sphere,1,0.5,7,8381.59
Sphere,1,0.5,8,5456.82
Sphere,1,0.5,9,8380.99
Sphere,1,0.5,10,7716.71
Sphere,1,0.7,1,23065.9
Sphere,1,0.7,2,31170
Sphere,1,0.7,3,22023.3
Sphere,1,0.7,4,23071.8
Sphere,1,0.7,5,25507.3
Sphere,1,0.7,6,31561
Sphere,1,0.7,7,25424.7
Sphere,1,0.7,8,25534.2
Sphere,1,0.7,9,27162
Sphere,1,0.7,10,30615.1
Sphere,1,0.9,1,18770.4
Sphere,1,0.9,2,15817
Sphere,1,0.9,3,15962.1
Sphere,1,0.9,4,13494.9
Sphere,1,0.9,5,17949
Sphere,1,0.9,6,12733.7
Sphere,1,0.9,7,28956.6
Sphere,1,0.9,8,16833.7
Sphere,1,0.9,9,12255.1
Sphere,1,0.9,10,9325.03
Rosenbrock,0.2,0.1,1,59.1133
Rosenbrock,0.2,0.1,2,43.7401
Rosenbrock,0.2,0.1,3,78.927
Rosenbrock,0.2,0.1,4,79.97
Rosenbrock,0.2,0.1,5,75.6154
Rosenbrock,0.2,0.1,6,58.1657
Rosenbrock,0.2,0.1,7,27.6132
Rosenbrock,0.2,0.1,8,23.2829
Rosenbrock,0.2,0.1,9,22.2241
Rosenbrock,0.2,0.1,10,22.1025
Rosenbrock,0.2,0.3,1,34.5556
Rosenbrock,0.2,0.3,2,78.5612
Rosenbrock,0.2,0.3,3,81.4617
Rosenbrock,0.2,0.3,4,43.2848
Rosenbrock,0.2,0.3,5,83.4329
Rosenbrock,0.2,0.3,6,110.567
Rosenbrock,0.2,0.3,7,87.6022
Rosenbrock,0.2,0.3,8,59.5318
Rosenbrock,0.2,0.3,9,80.6445
Rosenbrock,0.2,0.3,10,76.2687
Rosenbrock,0.2,0.5,1,140.513
Rosenbrock,0.2,0.5,2,55.4036
Rosenbrock,0.2,0.5,3,73.6481
Rosenbrock,0.2,0.5,4,100.972
Rosenbrock,0.2,0.5,5,121.457
Rosenbrock,0.2,0.5,6,122.603
Rosenbrock,0.2,0.5,7,81.3208
Rosenbrock,0.2,0.5,8,89.8896
Rosenbrock,0.2,0.5,9,292.233
